43,Layli,1200000,Layli.jpg,25,"A soft mint sling bag with gold accents, Layli embodies dreamy, graceful evenings. Elegant, yet practical, it brings out your gentler side, with a midnight-blue lining and a crescent clasp closure.",1,t,2025-11-25 04:50:31.162576+07,2025-11-25 04:50:31.162576+07
44,Firdaws,1750000,Firdaws.jpg,10,"A crescent-shaped shoulder bag in soft matte blue, designed for calm sophistication. Firdaws is the perfect everyday companion that blends minimalism with a touch of celestial charm.",2,t,2025-11-25 04:50:31.162576+07,2025-11-25 04:50:31.162576+07
45,Firyal,1620000,Firyal.jpg,15,"This structured bucket bag features delicate floral motifs and a cream palette—perfect for those who love soft, romantic aesthetics. Firyal brings a timeless feminine touch to any look.",3,t,2025-11-25 04:50:31.162576+07,2025-11-25 04:50:31.162576+07
46,Ghubar,1980000,Ghubar.jpg,17,"With its rich chocolate tones and classic silhouette, Ghubar is a heritage-inspired handbag that exudes strength and elegance—ideal for formal and executive settings.",4,t,2025-11-25 04:50:31.162576+07,2025-11-25 04:50:31.162576+07
47,Hijaz,1390000,Hijaz.jpg,20,"The Hijaz bag combines white and brown in a sleek, modern shoulder design. It reflects balance, modesty, and timeless taste—ideal for daily wear or casual elegance.",1,t,2025-11-25 04:50:31.162576+07,2025-11-25 04:50:31.162576+07
48,Joud,1860000,Joud.jpg,7,"Joud is a unique cylindrical bucket bag adorned with blue floral embroidery and golden accents, symbolizing generosity and luxury in every stitch.",3,t,2025-11-25 04:50:31.162576+07,2025-11-25 04:50:31.162576+07
49,Mahra,1330000,Mahra.jpg,16,"With its black and ivory palette and equestrian-inspired buckle, Mahra brings out a bold yet classic style—perfect for making a subtle statement.",5,t,2025-11-25 04:50:31.162576+07,2025-11-25 04:50:31.162576+07
50,Nibras,1990000,Nibras.jpg,5,"Woven textures and a structured form define Nibras. Inspired by artisanal craftsmanship, it reflects grounded wisdom and understated elegance.",6,t,2025-11-25 04:50:31.162576+07,2025-11-25 04:50:31.162576+07
51,Raqi,1510000,Raqi.jpg,25,"Sleek in pale sage with a structured frame, Raqi is the embodiment of class. Its name meaning '"elegant'" is no coincidence—this bag speaks sophistication.",5,t,2025-11-25 04:50:31.162576+07,2025-11-25 04:50:31.162576+07
52,Rawya,1750000,Rawya.jpg,16,A vintage-inspired design with a rich brown top flap and cream body—Rawya is for the storyteller in you. Carry memories with grace.,6,t,2025-11-25 04:50:31.162576+07,2025-11-25 04:50:31.162576+07
